Product Name,Price (₹),Original Price
"Metal, Alloy Bracelet",₹163,₹999
Brass Gold-plated Bracelet,₹123,₹999
Glass Bracelet,₹121,₹799
Alloy Gold-plated Bracelet,₹161,₹999
Stainless Steel Silver Bracelet,₹274,"₹1,999"
Rudraksha Gold-plated Bracelet,₹224,₹999
Brass Gold-plated Bracelet,₹150,₹499
Stainless Steel Gold-plated Bracelet,₹384,"₹1,299"
Alloy Moonstone Gold-plated Bracelet,₹189,"₹1,999"
Stainless Steel Rhodium Bracelet,₹209,₹999
"Metal, Alloy Bracelet",₹163,₹999
Brass Gold-plated Bracelet,₹123,₹999
Glass Bracelet,₹121,₹799
Alloy Gold-plated Bracelet,₹161,₹999
Stainless Steel Silver Bracelet,₹274,"₹1,999"
Rudraksha Gold-plated Bracelet,₹224,₹999
Brass Gold-plated Bracelet,₹150,₹499
Stainless Steel Gold-plated Bracelet,₹384,"₹1,299"
Alloy Moonstone Gold-plated Bracelet,₹189,"₹1,999"
Stainless Steel Rhodium Bracelet,₹209,₹999
"Metal, Alloy Bracelet",₹163,₹999
Brass Gold-plated Bracelet,₹123,₹999
Glass Bracelet,₹121,₹799
Alloy Gold-plated Bracelet,₹161,₹999
Stainless Steel Silver Bracelet,₹274,"₹1,999"
Rudraksha Gold-plated Bracelet,₹224,₹999
Brass Gold-plated Bracelet,₹150,₹499
Stainless Steel Gold-plated Bracelet,₹384,"₹1,299"
Alloy Moonstone Gold-plated Bracelet,₹189,"₹1,999"
Stainless Steel Rhodium Bracelet,₹209,₹999
